행정구역,2022년05월_총인구수,2022년05월_세대수,2022년05월_세대당 인구,2022년05월_남자 인구수,2022년05월_여자 인구수,2022년05월_남여 비율
서울특별시  (1100000000),"9,496,887","4,460,604",2.13,"4,607,440","4,889,447",0.94
서울특별시 종로구 (1111000000),"143,850","73,822",1.95,"69,638","74,212",0.94
서울특별시 중구 (1114000000),"122,054","63,880",1.91,"59,368","62,686",0.95
서울특별시 용산구 (1117000000),"222,083","111,508",1.99,"106,666","115,417",0.92
서울특별시 성동구 (1120000000),"284,173","134,357",2.12,"138,373","145,800",0.95
서울특별시 광진구 (1121500000),"340,062","169,769",2,"164,091","175,971",0.93
서울특별시 동대문구 (1123000000),"337,443","169,815",1.99,"166,447","170,996",0.97
서울특별시 중랑구 (1126000000),"388,736","188,134",2.07,"191,575","197,161",0.97
서울특별시 성북구 (1129000000),"433,531","197,884",2.19,"208,802","224,729",0.93
서울특별시 강북구 (1130500000),"296,726","144,866",2.05,"144,228","152,498",0.95
서울특별시 도봉구 (1132000000),"315,162","138,951",2.27,"153,252","161,910",0.95
서울특별시 노원구 (1135000000),"508,867","218,955",2.32,"244,807","264,060",0.93
서울특별시 은평구 (1138000000),"473,669","216,169",2.19,"226,182","247,487",0.91
서울특별시 서대문구 (1141000000),"305,615","145,397",2.1,"145,681","159,934",0.91
서울특별시 마포구 (1144000000),"367,474","180,978",2.03,"172,574","194,900",0.89
서울특별시 양천구 (1147000000),"444,925","181,921",2.45,"217,920","227,005",0.96
서울특별시 강서구 (1150000000),"572,959","273,756",2.09,"275,199","297,760",0.92
서울특별시 구로구 (1153000000),"395,146","182,113",2.17,"194,518","200,628",0.97
서울특별시 금천구 (1154500000),"231,427","119,315",1.94,"116,756","114,671",1.02
서울특별시 영등포구 (1156000000),"376,290","188,506",2,"185,354","190,936",0.97
서울특별시 동작구 (1159000000),"385,755","186,948",2.06,"186,455","199,300",0.94
서울특별시 관악구 (1162000000),"486,686","280,657",1.73,"244,628","242,058",1.01
서울특별시 서초구 (1165000000),"408,133","169,642",2.41,"195,056","213,077",0.92
서울특별시 강남구 (1168000000),"531,744","234,833",2.26,"254,347","277,397",0.92
서울특별시 송파구 (1171000000),"662,960","285,939",2.32,"319,461","343,499",0.93
서울특별시 강동구 (1174000000),"461,417","202,489",2.28,"226,062","235,355",0.96
