행정구역,2022년07월_총인구수,2022년07월_세대수,2022년07월_세대당 인구,2022년07월_남자 인구수,2022년07월_여자 인구수,2022년07월_남여 비율
서울특별시  (1100000000),"9,493,211","4,469,392",2.12,"4,604,405","4,888,806",0.94
서울특별시 종로구 (1111000000),"143,547","73,756",1.95,"69,463","74,084",0.94
서울특별시 종로구 청운효자동(1111051500),"11,780","5,195",2.27,"5,401","6,379",0.85
서울특별시 종로구 사직동(1111053000),"9,292","4,669",1.99,"4,130","5,162",0.8
서울특별시 종로구 삼청동(1111054000),"2,380","1,187",2.01,"1,131","1,249",0.91
서울특별시 종로구 부암동(1111055000),"9,423","4,234",2.23,"4,491","4,932",0.91
서울특별시 종로구 평창동(1111056000),"17,973","7,439",2.42,"8,367","9,606",0.87
서울특별시 종로구 무악동(1111057000),"8,130","3,052",2.66,"3,774","4,356",0.87
서울특별시 종로구 교남동(1111058000),"9,942","4,437",2.24,"4,578","5,364",0.85
서울특별시 종로구 가회동(1111060000),"4,008","1,980",2.02,"1,845","2,163",0.85
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,196","5,299",1.36,"4,274","2,922",1.46
서울특별시 종로구 종로5.6가동(1111063000),"5,067","3,425",1.48,"2,689","2,378",1.13
서울특별시 종로구 이화동(1111064000),"7,218","4,367",1.65,"3,427","3,791",0.9
서울특별시 종로구 혜화동(1111065000),"16,347","9,300",1.76,"7,851","8,496",0.92
서울특별시 종로구 창신제1동(1111067000),"4,851","2,856",1.7,"2,593","2,258",1.15
서울특별시 종로구 창신제2동(1111068000),"7,834","4,046",1.94,"4,028","3,806",1.06
서울특별시 종로구 창신제3동(1111069000),"6,500","2,804",2.32,"3,199","3,301",0.97
서울특별시 종로구 숭인제1동(1111070000),"5,838","3,003",1.94,"2,821","3,017",0.94
서울특별시 종로구 숭인제2동(1111071000),"9,768","6,463",1.51,"4,864","4,904",0.99
서울특별시 중구 (1114000000),"122,138","64,040",1.91,"59,360","62,778",0.95
서울특별시 중구 소공동(1114052000),"2,230","1,298",1.72,"1,074","1,156",0.93
서울특별시 중구 회현동(1114054000),"4,722","2,699",1.75,"2,446","2,276",1.07
서울특별시 중구 명동(1114055000),"2,897","1,562",1.85,"1,267","1,630",0.78
서울특별시 중구 필동(1114057000),"4,047","2,504",1.62,"2,079","1,968",1.06
서울특별시 중구 장충동(1114058000),"4,664","2,873",1.62,"2,442","2,222",1.1
서울특별시 중구 광희동(1114059000),"5,289","3,460",1.53,"2,676","2,613",1.02
서울특별시 중구 을지로동(1114060500),"1,739","1,353",1.29,"1,055",684,1.54
서울특별시 중구 신당동(1114061500),"7,753","4,860",1.6,"3,797","3,956",0.96
서울특별시 중구 다산동(1114062500),"13,720","6,934",1.98,"6,648","7,072",0.94
서울특별시 중구 약수동(1114063500),"16,544","7,851",2.11,"7,667","8,877",0.86
서울특별시 중구 청구동(1114064500),"13,431","6,286",2.14,"6,377","7,054",0.9
서울특별시 중구 신당제5동(1114065000),"10,272","5,380",1.91,"4,981","5,291",0.94
서울특별시 중구 동화동(1114066500),"10,163","4,063",2.5,"4,883","5,280",0.92
서울특별시 중구 황학동(1114067000),"12,643","7,216",1.75,"5,992","6,651",0.9
서울특별시 중구 중림동(1114068000),"12,024","5,701",2.11,"5,976","6,048",0.99
